num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie
7,Kevin Durant,Forward,"6' 10""",7' 5'',240 lbs.,9/29/88,32.0,Texas,14,2007,2,Signed-and-traded from GSW on 7/7/19,Sign-and-Trade,Year 2/4 of 4 yr/$164M from 2019 offseason,40108950,42018900,43928850,48234375,,,"15% trade kicker, $1.00M annual likely incentives (for any of make playoffs, win 43 games, 50+ games, All-Star), $1.05M for 20-21, $1.10M for 21-22, $1.15M for 22-23","21% SF, 69% PF, 10% C",4,78,0.692,118.7,107.3,11.4,34.6,24.2,0.631,29.0,8.6,2.9,0.204,5.4,0.1,5.1,16.2
11,Kyrie Irving,Point,6' 2'',6' 4'',195 lbs.,3/23/92,28.5,Duke,10,2011,1,Signed on 7/7/19,Cap Space,Year 2/4 of 4 yr/$137M from 2019 offseason,33579100,35166200,36753300,48234375,,,"15% trade kicker, $250k annual likely incentives ($125k for 88.5% FT, $125k for 2.8 3PM), $750k annual unlikely ($125k for 70 G, $125k for 60 G+2.4- TO/G, $125k for 60 G+4.6+ FT/G, $125k for 2.1- F/G, $125k for 114+ ORTG, $125k for 106- DRTG), $1.05M for 20-21, $1.10M for 21-22, $1.15M for 22-23",100% PG,1,20,0.400,112.7,113.1,-0.4,32.9,26.3,0.595,32.6,2.1,0.8,0.216,6.6,1.0,1.6,16.4
22,Caris LeVert,Combo,6' 6'',"6' 10""",205 lbs.,8/25/94,26.1,Michigan,5,2016,20,2016 Draft (#20 pick),Bird Rights,Year 1/3 of 3 yr/$53M from 2019 offseason (extension),16203704,17500000,18796296,28194444,,,,"5% PG, 76% SG, 19% SF",2,39,0.462,108.4,108.5,-0.1,29.0,15.1,0.509,28.8,-0.1,1.2,0.050,0.1,-0.7,0.4,10.5
2,Taurean Prince,Big,6' 7'',7' 0'',218 lbs.,3/22/94,26.5,Baylor,5,2016,12,Traded from ATL on 6/6/19,Bird Rights,Year 1/2 of 2 yr/$25M from 2019 offseason (extension),12250000,13000000,19500000,,,,"$669k annual unlikely incentives ($334k for 105- DRTG, $334k for 7.6 3PA/36 MIN + 41.5% 3PT), probably other unknown incentives","16% SF, 83% PF, 1% C",4,64,0.469,109.6,108.4,1.2,29.0,9.2,0.497,20.4,-1.7,2.4,0.019,-2.9,-0.1,-0.5,7.4
26,Spencer Dinwiddie,Combo,6' 5'',6' 8'',215 lbs.,4/6/93,27.5,Colorado,7,2014,38,Signed on 12/8/16,Cap Space,Year 2/3 of 3 yr/$34M from 18-19 season (extension),11454048,12302496,18453744,,,,,"40% PG, 57% SG, % SF",2,64,0.469,110.5,109.4,1.1,31.2,17.9,0.541,29.2,3.4,1.7,0.123,2.6,-0.8,1.9,12.1
6,DeAndre Jordan,Big,"6' 11""",7' 6'',265 lbs.,7/21/88,32.2,Texas A&M,13,2008,35,Signed on 7/6/19,Cap Space,Year 2/4 of 4 yr/$40M from 2019 offseason,10375678,9881598,9821842,18661500,,,,100% C,5,56,0.482,104.0,105.8,-1.8,22.0,20.0,0.682,14.1,3.0,2.3,0.204,1.1,1.8,1.5,16.8
17,Garrett Temple,Wing,6' 5'',,195 lbs.,5/8/86,34.4,LSU,11,2009,,Signed on 7/8/19,Room Exception,Year 1/2 of 2 yr/$10M from 2019 offseason,5005350,6506955,,,,,,"86% PG, 14% SG",1,55,0.473,104.2,105.7,-1.5,28.1,10.3,0.507,16.6,0.5,1.6,0.065,1.5,0.4,0.4,7.6
31,Jarrett Allen,Big,"6' 11""",7' 6'',243 lbs.,4/21/98,22.4,Texas,4,2017,22,2017 Draft (#22 pick),Rookie Scale,Year 4/4 of 4 yr/$10M from 2017 offseason,3909902,11729706,,,,,,100% C,5,64,0.469,109.4,108.9,0.5,25.7,20.3,0.658,15.0,4.3,2.8,0.207,1.0,1.1,1.7,13.8
13,Dzanan Musa,Forward,6' 9'',6' 9'',217 lbs.,5/8/99,21.4,Cedevita (Croatia),3,2018,29,2018 Draft (#29 pick),Rookie Scale,Year 3/4 of 4 yr/$9M from 2018 offseason,2002800,3615054,10856162,,,,,"26% SF, 74% PF",4,35,0.486,100.1,105.5,-5.4,11.5,8.4,0.467,19.4,-0.4,0.4,0.006,-4.1,-0.7,-0.3,6.6
9,Timothe Luwawu-Cabarrot,Wing,6' 7'',7' 2'',220 lbs.,5/9/95,25.4,Mega Leks (Serbia),5,2016,24,Signed on 2/7/20,Minimum,Year 1/2 of 2 yr/$2M from 19-20 season,1824003,1856061,,,,,,"1% PG, 46% SG, 52% SF, 1% PF",3,39,0.385,99.9,103.8,-3.9,17.2,8.9,0.563,15.7,0.4,0.6,0.069,-3.0,-0.2,-0.2,5.5
