num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie,
5,Nicolas Batum,Wing,6' 9'',7' 4'',230 lbs.,12/14/88,31.8,Le Mans (France),13,2008,25,Traded from POR on 6/24/15,Bird Rights,Year 4/5 of 5 yr/$120M from 2016 offseason,27130434,40695651,,,,,,"67% SF, 32% PF",3,22,0.273,108.6,111.9,-3.3,23.0,9.2,0.463,9.4,0.2,0.4,0.055,-2.7,0.9,0.0,6.8,
3,Terry Rozier,Combo,6' 1'',6' 8'',190 lbs.,3/17/94,26.5,Louisville,6,2015,16,Signed-and-traded from BOS on 7/6/19,Sign-and-Trade,Year 2/3 of 3 yr/$57M from 2019 offseason,18900000,17905263,26857895,,,,,"38% PG, 62% SG",2,63,0.333,104.5,113.4,-8.9,34.4,14.9,0.553,23.7,1.9,1.1,0.067,0.8,-1.3,0.8,10.3,
40,Cody Zeller,Big,7' 0'',"6' 11""",240 lbs.,10/5/92,28.0,Indiana,8,2013,4,2013 Draft (#4 pick),Bird Rights,Year 4/4 of 4 yr/$56M from 2016 offseason (extension),15415730,23123595,,,,,,100% C,5,58,0.310,105.3,113.6,-8.3,23.1,18.8,0.576,20.8,2.4,1.2,0.129,0.2,-0.8,0.5,11.4,
1,Malik Monk,Wing,6' 3'',6' 4'',200 lbs.,2/4/98,22.7,Kentucky,4,2017,11,2017 Draft (#11 pick),Rookie Scale,Year 4/4 of 4 yr/$16M from 2017 offseason,5345687,16037061,,,,,,"4% PG, 85% SG, 12% SF",2,55,0.327,101.8,112.3,-10.5,21.3,12.7,0.530,22.9,0.1,0.6,0.028,-1.0,-1.3,-0.1,9.1,
25,P.J. Washington,Big,6' 7'',7' 3'',230 lbs.,8/23/98,22.1,Kentucky,2,2019,12,2019 Draft (#12 pick),Rookie Scale,Year 2/4 of 4 yr/$18M from 2019 offseason,4023600,4215120,5808435,17425305,,,,"6% SF, 85% PF, 9% C",4,58,0.379,103.9,110.1,-6.2,30.3,12.4,0.547,18.6,0.5,1.4,0.054,-1.7,0.1,0.2,8.3,
0,Miles Bridges,Forward,6' 6'',6' 9'',225 lbs.,3/21/98,22.5,Michigan State,3,2018,12,2018 Draft (#12 pick),Rookie Scale,Year 3/4 of 4 yr/$16M from 2018 offseason,3934320,5421493,16264479,,,,,"3% SG, 72% SF, 25% PF",3,65,0.354,104.4,114.0,-9.6,30.7,12.1,0.520,20.0,0.3,1.3,0.038,-1.5,-1.0,-0.3,8.2,
4,Devonte' Graham,Point,6' 1'',6' 6'',195 lbs.,2/22/95,25.6,Kansas,3,2018,34,2018 Draft (#34 pick),MLE,Year 2/3 of 3 yr/$4M from 2018 offseason,1663861,2122822,,,,,,100% PG,1,63,0.365,107.4,111.8,-4.4,35.1,15.8,0.537,24.8,2.5,0.9,0.073,2.6,-2.1,1.4,10.9,
11,Cody Martin,Wing,6' 5'',"6' 10""",205 lbs.,9/28/95,25.0,Nevada,2,2019,36,2019 Draft (#36 pick),MLE,Year 2/3 of 3 yr/$4M from 2019 offseason,1517981,1782621,2228276,,,,,"1% PG, 26% SG, 71% SF, 3% PF",3,48,0.333,104.5,107.7,-3.2,18.8,10.5,0.505,13.6,0.2,0.8,0.052,-3.1,1.0,0.0,7.6,
10,Caleb Martin,Wing,6' 5'',"6' 10""",205 lbs.,9/28/95,25.0,Nevada,2,2019,,Signed on 7/31/19,MLE,Year 1/3 of 3 yr/$4M from 2019 offseason,1517981,1782621,2228276,,,,,"5% PG, 73% SG, 23% SF",2,18,0.333,103.2,102.4,0.8,17.6,12.0,0.595,15.0,0.3,0.2,0.081,-1.6,0.5,0.1,7.7,
6,Jalen McDaniels,Wing,"6' 10""",7' 1'',205 lbs.,1/31/98,22.7,San Diego State,2,2019,52,2019 Draft (#52 pick),MLE,Year 1/4 of 4 yr/$6M from 2019 offseason,1517981,1782621,1930681,2046307,,,,"81% PF, 19% C",4,16,0.438,105.3,108.8,-3.5,18.3,10.7,0.574,13.3,0.2,0.2,0.078,-3.3,0.0,-0.1,7.5,
