team,1920winpct,winpctrank,1920ortg,ortgrank,1920drtg,drtgrank,1920nrtg,nrtgrank,1920pace,pacerank,gtcontracts,po_ngs,avgage,medage,avgexp,medexp,2021projsalary,2021projcapspace,2021projtaxspace,2021projexceptions,tenyrwin,tenyrloss,tenyrwinpct,winpctrank_10,playoffpct,principal_owner,nw,owned_since,business,other_owners,valuation,percent_change,debt_to_value,revenue,operating_income
ATL,0.299 ,27 ,107.0,25,114.4,28,-7.4,28,103.28,7,8,1,23.93,22.80,3.78,3,"$62,115,976 ","$67,816,094 ","$76,812,024",Room ($4.77M),390,399,0.494,17,0.700,Tony Ressler,3.6,2015,Private equity tycoon and venture capitalist,"Grant Hill, Steven Price, Rick Schnall, Sara Blakely, Jesse Itzler",1.52,17,16,251,78
BOS,0.667 ,5 ,112.8,4,106.5,4,6.3,3,99.92,17,9,4,25.61,26.15,4.86,4 ,"$147,411,607 ",$0,"-$8,483,607",Tax MLE ($5.72M),454,339,0.573,7,0.900,Wyc Grousbeck,0.4,2002,"Venture capital firm, Mass Ear/Eye Infirmary",,3.10,11,3,304,88
BKN,0.486 ,14 ,108.7,21,109.2,10,-0.5,15,101.70,10,10,3,26.51,26.10,6.46,5 ,"$142,701,588",$0,"-$3,773,588",Tax MLE ($5.72M),323,471,0.407,24,0.444,Joseph Tsai,13.7,2019,Vice chairman and cofounder of Alibaba,,2.50,6,8,304,42
CHA,0.354 ,22 ,105.9,27,112.8,25,-7.0,27,96.24,30,7,4,25.17,25.00,4.50 ,3,"$88,807,535","$42,921,155","$50,120,465",Room ($4.77M),320,467,0.407,25,0.200,Michael Jordan,1.6,2010,He's Michael Jeffrey Jordan,,1.50,20,10,240,39
CHI,0.338 ,24 ,105.8,29,108.9,9,-3.1,22,100.46,16,11,1,25.46,25.35,5.17,4 ,"$113,096,068",$0,"$25,831,932","Full MLE ($9.26M), BAE ($3.62M)",409,378,0.520,14,0.600,Jerry Reinsdorf,1.5,1985,"Real estate when he was young, also White Sox",,3.20,10,3,301,103
CLE,0.292 ,29 ,106.9,26,114.8,30,-7.9,29,99.17,23,8,5,25.17,25.40,4.62 ,4 ,"$118,628,882",$0,"$20,299,118","Full MLE ($9.26M), Jordan Clarkson TPE ($3.84M), BAE ($3.62M)",346,441,0.440,20,0.400,Dan Gilbert,42.3,2005,"Cofounder of QuickenLoans, JACK Entertainment",,1.51,18,13,300,39
DAL,0.573 ,13 ,115.9,1,111.2,18,4.8,6,99.89,18,10,2,27.31,27.90,5.50,6,"$112,128,362",$0,"$26,799,638",Full MLE ($9.26M),408,389,0.512,15,0.556,Mark Cuban,4.2,2000,"Founded company in the 1990's, investor",,2.40,7,4,307,105
DEN,0.630 ,6 ,112.6,5,110.4,16,2.2,11,97.64,29,7,4,24.69,24.95,4.73,5,"$102,659,923 ",$0,"$36,268,077 ","Full MLE ($9.26M), BAE ($3.62M), Hernangomez TPE ($3.32M), one TPE < $2M",430,363,0.542,11,0.500,Stan Kroenke,8.3,2000,"Owns 30M sq ft of real estate mostly shopping malls, 2M acres of ranches",,1.60,16,0,252,52
DET,0.303 ,26 ,108.8,20,112.3,22,-3.5,23,97.86,28,4,5,25.71,24.20,5.78,4,"$77,457,218 ","$52,650,908 ","$61,470,782",Room ($4.77M),326,462,0.414,23,0.200,Tom Gores,5.7,2011,"Private equity, oversees 25 companies with $23B in assets",,1.45,14,10,255,52
GSW,0.231 ,30 ,104.4,30,113.0,26,-8.6,30,101.04,15,8,5,25.94,25.60,5.00,4,"$157,615,108 ",$0,"-$18,687,108","Iguodala TPE ($17.19M), Tax MLE ($5.72M), Cauley-Stein TPE ($2.18M), eight TPEs < $2M",494,293,0.628,3,0.700,Joe Lacob,1.2,2010,Invested in start-ups,Peter Guber,4.30,23,18,440,109
