year_rank_salary,year_rank_wins,year_rank_wins minus year_rank_salary,team,team code,payroll,payroll (adjusted for inflation),year (season started in),average yearly payroll,stdev yearly payroll,yearly payroll z score,wins,average yearly wins,stdev yearly wins,yearly wins z score,wins z - payroll z
30,26,4,Atlanta ,ATL,79180081,80485339,2018,120157121.1,15312423.45,-2.676064979,29,41,12.02870131,-0.997613931,1.678451048
10,9,1,Boston ,BOS,125334993,127401110,2018,120157121.1,15312423.45,0.338148425,49,41,12.02870131,0.665075954,0.326927529
17,14,3,Brooklyn ,BRK,118850600,120809821,2018,120157121.1,15312423.45,-0.085324256,42,41,12.02870131,0.083134494,0.16845875
16,17,-1,Charlotte ,CHO,121427859,123429571,2018,120157121.1,15312423.45,0.082987378,39,41,12.02870131,-0.166268989,-0.249256366
24,27,-3,Chicago ,CHI,112598201,114454351,2018,120157121.1,15312423.45,-0.493646232,22,41,12.02870131,-1.579555391,-1.085909159
13,28,-15,Cleveland ,CLE,123255073,125286901,2018,120157121.1,15312423.45,0.202316235,19,41,12.02870131,-1.828958874,-2.031275109
29,22,7,Dallas ,DAL,86958881,88392374,2018,120157121.1,15312423.45,-2.168059174,33,41,12.02870131,-0.665075954,1.50298322
18,4,14,Denver ,DEN,118327016,120277610,2018,120157121.1,15312423.45,-0.119517667,54,41,12.02870131,1.080748425,1.200266093
7,16,-9,Detroit ,DET,126557932,128644207,2018,120157121.1,15312423.45,0.418014228,41,41,12.02870131,0,-0.418014228
2,3,-1,Golden State ,GSW,146291276,148702858,2018,120157121.1,15312423.45,1.70672885,57,41,12.02870131,1.330151908,-0.376576942
8,5,3,Houston ,HOU,126474100,128558994,2018,120157121.1,15312423.45,0.412539458,53,41,12.02870131,0.997613931,0.585074473
25,11,14,Indiana ,IND,110724804,112550074,2018,120157121.1,15312423.45,-0.615991137,48,41,12.02870131,0.58194146,1.197932597
19,11,8,LA Clippers ,LAC,118026816,119972458,2018,120157121.1,15312423.45,-0.139122663,48,41,12.02870131,0.58194146,0.721064123
27,20,7,LA Lakers ,LAL,107225482,108993069,2018,120157121.1,15312423.45,-0.844519431,37,41,12.02870131,-0.332537977,0.511981454
9,22,-13,Memphis ,MEM,126107461,128186312,2018,120157121.1,15312423.45,0.388595567,33,41,12.02870131,-0.665075954,-1.053671521
1,17,-16,Miami ,MIA,153171497,155696495,2018,120157121.1,15312423.45,2.156051652,39,41,12.02870131,-0.166268989,-2.32232064
5,1,4,Milwaukee ,MIL,130988604,133147922,2018,120157121.1,15312423.45,0.707365683,60,41,12.02870131,1.579555391,0.872189708
14,21,-7,Minnesota ,MIN,121962221,123972737,2018,120157121.1,15312423.45,0.117884662,36,41,12.02870131,-0.415672471,-0.533557134
20,22,-2,New Orleans ,NOP,116052756,117965855,2018,120157121.1,15312423.45,-0.268041512,33,41,12.02870131,-0.665075954,-0.397034442
12,30,-18,New York ,NYK,123387454,125421469,2018,120157121.1,15312423.45,0.210961568,17,41,12.02870131,-1.995227862,-2.206189431
3,9,-6,Oklahoma City ,OKC,144916427,147305340,2018,120157121.1,15312423.45,1.616942344,49,41,12.02870131,0.665075954,-0.95186639
22,14,8,Orlando ,ORL,114394213,116279975,2018,120157121.1,15312423.45,-0.376355066,42,41,12.02870131,0.083134494,0.45948956
21,7,14,Philadelphia ,PHI,115127167,117025010,2018,120157121.1,15312423.45,-0.328488443,51,41,12.02870131,0.831344943,1.159833385
26,28,-2,Phoenix ,PHO,108692835,110484604,2018,120157121.1,15312423.45,-0.748691817,19,41,12.02870131,-1.828958874,-1.080267057
