playername,playerid,team,salary1920,salary2021,salary2122,salary2223,salary2324,salary2425,signedusing,guaranteed
Stephen Curry,curryst01,GSW,40231758,43006362,45780966,,,,Bird Rights,129019086
Chris Paul,paulch01,OKC,38506482,41358814,44211146,,,,Bird Rights,79865296
Russell Westbrook,westbru01,HOU,38178000,41006000,43848000,46662000,,,Bird Rights,123032000
John Wall,walljo01,WAS,37800000,40824000,43848000,46872000,,,Bird Rights,122472000
James Harden,hardeja01,HOU,37800000,40824000,43848000,46872000,,,Bird Rights,122472000
LeBron James,jamesle01,LAL,37436858,39219565,41002273,,,,Cap Space,76656423
Kevin Durant,duranke01,BRK,37199000,39058950,40918900,42778850,,,Sign and Trade,117176850
Blake Griffin,griffbl01,DET,34234964,36595996,38957028,,,,Bird Rights,70830960
Kyle Lowry,lowryky01,TOR,33296296,30000000,,,,,Bird Rights,63296296
Paul George,georgpa01,LAC,33005556,35450412,37895268,,,,Maximum Salary,68455968
Klay Thompson,thompkl01,GSW,32742000,35361360,37980720,40600080,43219440,,Bird Rights,189903600
Jimmy Butler,butleji01,MIA,32742000,34379100,36016200,37653300,,,Sign and Trade,103137300
Kemba Walker,walkeke02,BOS,32742000,34379100,36016200,37653300,,,Sign and Trade,103137300
Kawhi Leonard,leonaka01,LAC,32742000,34379100,36016200,,,,Cap Space,67121100
Gordon Hayward,haywago01,BOS,32700690,34187085,,,,,Cap space,32700690
Mike Conley,conlemi01,UTA,32511623,34504132,,,,,Cap Space,54938006
Kyrie Irving,irvinky01,BRK,31742000,33329100,34916200,36503300,,,Cap space,136490600
Tobias Harris,harrito02,PHI,31034483,33517241,36000000,38482759,40965517,,Bird Rights,180000000
Khris Middleton,middlkh01,MIL,30603448,33051724,35500000,37948276,40396552,,Bird Rights,137103448
Paul Millsap,millspa01,DEN,30500000,,,,,,Cap space,30500000
Damian Lillard,lillada01,POR,29802321,31626953,43750000,47250000,50750000,54250000,1st Round Pick,257429274
Kevin Love,loveke01,CLE,28900000,31300000,31300000,28900000,,,Bird Rights,120400000
Nikola Vučević,vucevni01,ORL,28000000,26000000,24000000,22000000,,,Bird Rights,100000000
Al Horford,horfoal01,PHI,28000000,27500000,27000000,26500000,,,Cap Space,97000000
DeMar DeRozan,derozde01,SAS,27739975,27739975,,,,,Cap Space,27739975
CJ McCollum,mccolcj01,POR,27556959,29354152,30864198,33333333,35802469,,1st Round Pick,156911111
Joel Embiid,embiijo01,PHI,27504630,29542010,31579390,33616770,,,1st Round Pick,122242800
Andrew Wiggins,wiggian01,GSW,27504630,29542010,31579390,33616770,,,1st Round Pick,122242800
Kristaps Porziņģis,porzikr01,DAL,27285000,29467800,31650600,33833400,36016200,,Bird Rights,122236800
D'Angelo Russell,russeda01,MIN,27285000,28649250,30013500,31377750,,,Sign and Trade,117325500
Otto Porter,porteot01,CHI,27250576,28489239,,,,,Bird Rights,27250576
Devin Booker,bookede01,PHO,27250000,29430000,31610000,33790000,35970000,,1st round pick,158050000
Karl-Anthony Towns,townska01,MIN,27250000,29430000,31610000,33790000,35970000,,1st Round Pick,155870000
Bradley Beal,bealbr01,WAS,27093019,28751775,34502130,37262300,,,Cap Space,90346924
Anthony Davis,davisan02,LAL,27093019,28751775,,,,,1st Round Pick,27093019
Andre Drummond,drumman01,CLE,27093019,28751775,,,,,Cap Space,27093019
Hassan Whiteside,whiteha01,POR,27093018,,,,,,Cap Space,27093018
Nikola Jokić,jokicni01,DEN,26573595,28542009,30510423,32478837,,,Bird Rights,118104864
Jrue Holiday,holidjr01,NOP,26131111,26131111,27020000,,,,Bird Rights,52262222
LaMarcus Aldridge,aldrila01,SAS,26000000,24000000,,,,,Cap Space,50000000
