num,name,position,height,wingspan,weight,dob,age,beforenba,experience,draftyear,pick,acquired,signedusing,currentcontract,salary2021,salary2122,salary2223,salary2324,salary2425,salary2526,contractdetails,positionbreakdown,position,gp,winpct,ortg,drtg,nrtg,mpg,per,tspct,usgpct,ows,dws,wsper48,obpm,dbpm,vorp,pie,
8,Kemba Walker,Point,6' 0'',6' 4'',184 lbs.,5/8/90,30.4,UConn,10,2011,9,Signed-and-traded from CHA on 7/6/19,Sign-and-Trade,Year 2/4 of 4 yr/$141M from 2019 offseason,34379100,36016200,37653300,48234375,,,15% trade kicker,100% PG,1,50,0.660,116.0,108.5,7.5,31.8,20.2,0.569,27.8,3.5,1.9,0.163,5.0,-0.2,2.7,13.2,
20,Gordon Hayward,Forward,6' 7'',6' 8'',225 lbs.,3/23/90,30.5,Butler,11,2010,9,Signed on 7/14/17,Cap Space,Year 3/4 of 4 yr/$128M from 2017 offseason,34187085,43365000,,,,,15% trade kicker,"6% SG, 77% SF, 17% PF",3,45,0.644,113.0,104.9,8.1,33.4,18.2,0.593,20.9,3.1,1.9,0.160,2.6,0.3,1.8,13.3,
7,Jaylen Brown,Wing,6' 6'',7' 0'',223 lbs.,10/24/96,23.9,Cal,5,2016,3,2016 Draft (#3 pick),Bird Rights,Year 1/4 of 4 yr/$103M from 2019 offseason (extension),23735119,25633929,27532738,29431548,43411200,,"Extension: $3.00M annual unlikely incentives ($1.00M for 65 games + 49 wins + 2nd round of playoffs, $2.00M for MVP, DPOY, or All-NBA)","49% SG, 47% SF, 4% PF",2,50,0.660,113.4,106.9,6.5,34.0,17.1,0.589,24.7,2.1,2.3,0.126,1.0,-0.1,1.2,11.4,
36,Marcus Smart,Combo,6' 3'',6' 9'',220 lbs.,3/6/94,26.6,Oklahoma State,7,2014,6,2014 Draft (#6 pick),Bird Rights,Year 3/4 of 4 yr/$52M from 2018 offseason,13446428,14339285,21508928,,,,"$500k annual likely incentives (body fat weigh-in, under 225 pounds?)","23% PG, 73% SG, 5% SF",2,53,0.642,110.9,104.3,6.6,32.5,14.0,0.519,19.3,0.7,2.4,0.115,0.2,1.3,1.5,9.2,
0,Jayson Tatum,Forward,6' 8'',"6' 11""",210 lbs.,3/3/98,22.6,Duke,4,2017,3,2017 Draft (#3 pick),Rookie Scale,Year 4/4 of 4 yr/$30M from 2017 offseason,9897120,29691360,,,,,,"89% PF, 11% C",4,59,0.695,113.8,103.5,10.3,34.6,20.3,0.562,28.6,2.9,3.4,0.147,3.3,0.6,3.0,14.3,
11,Enes Kanter,Big,"6' 10""",7' 1'',250 lbs.,5/20/92,28.4,Kentucky,10,2011,3,Signed on 7/17/19,Room Exception,Year 1/2 of 2 yr/$10M from 2019 offseason,5005350,6506955,,,,,,100% C,5,51,0.627,112.0,103.7,8.3,17.5,22.0,0.594,19.3,2.1,1.7,0.207,1.6,-0.1,0.8,15.5,
27,Daniel Theis,Big,6' 8'',"6' 11""",245 lbs.,4/4/92,28.5,Brose Bamberg (Germany),4,2013,,Signed on 7/20/17,Early Bird Rights,Year 1/2 of 2 yr/$10M from 2019 offseason,5000000,9500000,,,,,,100% C,5,58,0.638,111.8,104.1,7.7,23.8,18.2,0.629,14.7,3.6,2.3,0.205,0.4,1.8,1.5,10.7,
45,Romeo Langford,Wing,6' 4'',"6' 11""",216 lbs.,10/25/99,20.9,Indiana,2,2019,14,2019 Draft (#14 pick),Rookie Scale,Year 2/4 of 4 yr/$17M from 2019 offseason,3631200,3804360,5634257,16902771,,,,"8% PG, 63% SG, 30% SF",2,27,0.704,110.5,102.1,8.4,11.0,6.0,0.465,11.9,-0.1,0.3,0.039,-4.5,-0.1,-0.2,2.3,
77,Vincent Poirier,Big,7' 0'',,235 lbs.,10/17/93,26.9,Baskonia (Spain),2,2015,,Signed on 7/15/19,Cap Space,Year 2/2 of 2 yr/$5M from 2019 offseason,2619207,3404969,,,,,"$39,588,480 ",100% C,5,21,0.857,104.3,108.1,-3.8,5.4,12.8,0.540,15.8,0.1,0.2,0.124,-4.5,0.7,-0.1,7.0,
12,Grant Williams,Big,6' 6'',"6' 10""",236 lbs.,11/30/98,21.8,Tennessee,2,2019,22,2019 Draft (#22 pick),Rookie Scale,Year 2/4 of 4 yr/$12M from 2019 offseason,2498760,2617800,4306281,12918843,,,,"31% SF, 56% PF, 14% C",4,62,0.694,109.8,102.4,7.4,15.6,8.0,0.508,11.5,0.2,1.3,0.075,-4.0,1.4,-0.1,3.9,
44,Robert Williams,Big,6' 8'',7' 6'',237 lbs.,10/17/97,22.9,Texas A&M,3,2018,27,2018 Draft (#27 pick),Rookie Scale,Year 3/4 of 4 yr/$9M from 2018 offseason,2029920,3661976,10985928,,,,,"1% PF, 99% C",5,23,0.652,109.7,108.6,1.1,14.0,19.6,0.671,12.3,0.6,0.8,0.205,-0.6,4.4,0.5,12.5,
37,Semi Ojeleye,Big,6' 6'',"6' 10""",240 lbs.,12/5/94,25.8,SMU,4,2017,37,2017 Draft (#37 pick),Rookie Scale,Year 3/4 of 4 yr/$6M from 2017 offseason,1752950,1856061,,,,,,"1% SG, 53% SF, 45% PF, 1% C",3,61,0.672,104.1,104.5,-0.4,14.6,7.6,0.557,8.8,0.8,0.9,0.091,-2.1,0.5,0.1,5.7,
4,Carsen Edwards,Combo,"5' 11""",6' 6'',200 lbs.,3/12/98,22.5,Purdue,2,2019,33,2019 Draft (#33 pick),Cap Space,Year 2/4 of 4 yr/$6M from 2019 offseason,1517981,1782621,1930681,2046307,,,,"12% PG, 87% SG, 1% SF",2,35,0.686,93.0,99.4,-6.4,9.0,6.5,0.446,18.1,-0.3,0.4,0.012,-4.6,-0.3,-0.2,5.1,
43,Javonte Green,Wing,6' 4'',,205 lbs.,7/23/93,27.2,Ulm (Germany),2,2015,,Signed on 7/25/19,Minimum,Year 1/2 of 2 yr/$2M from 2019 offseason,1517981,2056061,,,,,,"2% PG, 45% SG, 51% SF, 3% PF",3,44,0.682,105.1,105.1,0.0,9.4,12.3,0.558,13.6,0.3,0.7,0.112,-2.4,1.8,0.1,8.3,
,DEAD MONEY,,,,,,,,,,,,,,1131937,1131937,92857,92857,,,,,,,,,,,,,,,,,,,,,,
,2020 1st (14) - MEM,,,,,,,,,,,,,,3458400,3631200,3804360,5634257,16902771,,,,,,,,,,,,,,,,,,,,,
,2020 1st (26),,,,,,,,,,,,,,2035800,2137440,2239200,4037278,12111834,,,,,,,,,,,,,,,,,,,,,
,2020 1st (30) - MIL,,,,,,,,,,,,,,1936440,2033160,2130240,3845803,11537409,,,,,,,,,,,,,,,,,,,,,
,2020 2nd (47) - BKN,,,,,,,,,,,,,,898310,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Brad Wanamaker,Combo,6' 3'',6' 8'',210 lbs.,7/25/89,31.2,Fenerbahce (Turkey),3,2011,,Signed on 7/2/18,,,1820564,,,,,,,"79% PG, 21% SG",1,63,0.683,107.7,104.8,2.9,19.3,11.8,0.560,15.4,1.2,1.5,0.108,-2.5,1.2,0.2,8.1,
51,Tremont Waters,Point,"5' 10""",6' 2'',175 lbs.,1/10/98,22.7,LSU,2,2019,51,2019 Draft (#51 pick),,,1416852,,,,,,,100% PG,1,10,0.800,114.3,99.5,14.8,8.9,6.5,0.438,22.9,-0.2,0.1,-0.045,-6.6,0.1,-0.1,4.7,
