team,year_purchased,price_paid,player_expenses,gate_receipts,wins_to_player,revenue_per_fan,metro_area_pop
NYK,1997,300,134,132,36,39,20.3
LAL,1998,268,120,104,87,54,13.1
GSW,2010,450,156,178,154,51,7
CHI,1985,16.2,115,61,54,20,9.5
BOS,2002,360,139,85,100,40,4.6
LAC,2014,2000,128,64,115,25,13.1
BKN,2019,3300,135,60,92,19,20.3
HOU,2017,2200,146,97,126,39,6.3
DAL,2000,280,108,52,86,27,7.2
TOR,2012,400,146,101,175,37,5.9
PHI,2011,287,117,71,157,29,6.1
MIA,1988,32.5,144,70,76,29,6.2
POR,1988,70,143,67,136,67,2.4
SAS,1996,76,142,76,108,64,2.5
SAC,2013,534,107,60,103,75,2.2
WSH,2010,551,142,53,64,24,6.1
PHX,2004,404,115,34,47,24,4.7
DEN,2000,202,131,47,147,40,2.9
MIL,2014,550,126,65,180,98,1.6
OKC,2006,325,162,63,89,91,1.4
UTA,1986,24,129,58,132,106,1.2
IND,1983,10.5,119,32,114,50,2
ATL,2015,730,95,32,86,20,5.8
CLE,2005,375,137,69,39,88,2.1
CHA,2010,175,127,28,87,40,2.5
DET,2011,325,138,47,84,28,4.3
ORL,1991,85,120,43,104,45,2.4
MIN,1995,88.5,132,33,77,26,3.6
NOP,2012,338,127,33,73,60,1.3
MEM,2012,377,136,20,69,56,1.4
